Spout_wait,Spliters,Counters,Throughput+
2,2,3,12954.0
2,2,4,14545.0
2,2,5,14916.0
2,2,6,14743.0
2,2,7,15682.0
2,2,8,16853.0
2,2,9,15583.0
2,2,10,17373.0
2,2,11,17310.0
2,2,12,16945.0
2,2,13,17908.0
2,2,14,18040.0
2,2,15,16557.0
2,2,16,18510.0
2,2,17,19269.0
2,2,18,17493.0
2,3,1,8506.4
2,3,2,12453.0
2,3,3,14913.0
2,3,4,14668.0
2,3,5,15768.0
2,3,6,15960.0
2,3,7,15743.0
2,3,8,16592.0
2,3,9,17332.0
2,3,10,18007.0
2,3,11,17883.0
2,3,12,18862.0
2,3,13,18608.0
2,3,14,18380.0
2,3,15,19434.0
2,3,16,19199.0
2,3,17,19203.0
2,3,18,19432.0
2,4,1,8602.2
2,4,2,12513.0
2,4,3,14814.0
2,4,4,13608.0
2,4,5,14505.0
2,4,6,16542.0
2,4,7,16129.0
2,4,8,17221.0
2,4,9,17995.0
2,4,10,18969.0
2,4,11,17455.0
2,4,12,19018.0
2,4,13,19090.0
2,4,14,18913.0
2,4,15,20094.0
2,4,16,19321.0
2,4,17,19333.0
2,4,18,19208.0
2,5,1,8853.8
2,5,2,12244.0
2,5,3,14911.0
2,5,4,15386.0
2,5,5,15624.0
2,5,6,15345.0
2,5,7,16456.0
2,5,8,16596.0
2,5,9,17453.0
2,5,10,17943.0
2,5,11,18073.0
2,5,12,17881.0
2,5,13,18751.0
2,5,14,18567.0
2,5,15,19421.0
2,5,16,18652.0
2,5,17,20209.0
2,5,18,19959.0
2,6,1,8800.9
2,6,2,12617.0
2,6,3,14421.0
2,6,4,14834.0
2,6,5,15850.0
2,6,6,16530.0
2,6,7,16515.0
2,6,8,17343.0
2,6,9,18191.0
2,6,10,19480.0
2,6,11,18076.0
2,6,12,19354.0
2,6,13,19893.0
2,6,14,18865.0
2,6,15,20164.0
2,6,16,19422.0
2,6,17,21842.0
2,6,18,18139.0
3,1,1,8220.5
3,1,2,12297.0
3,1,3,12566.0
3,1,4,12158.0
3,1,5,14633.0
3,1,6,12046.0
3,1,7,12308.0
3,1,8,14672.0
3,1,9,13297.0
3,1,10,14066.0
3,1,11,15143.0
3,1,12,13273.0
3,1,13,13984.0
3,1,14,16371.0
3,1,15,14704.0
3,1,16,12693.0
3,1,17,18214.0
3,1,18,14088.0
3,2,1,8807.9
3,2,2,12331.0
3,2,3,12472.0
3,2,4,15170.0
3,2,5,15828.0
3,2,6,15182.0
3,2,7,16035.0
3,2,8,17097.0
3,2,9,15911.0
3,2,10,17240.0
3,2,11,17616.0
3,2,12,16383.0
3,2,13,17653.0
3,2,14,17518.0
3,2,15,17707.0
3,2,16,19593.0
3,2,17,19555.0
3,2,18,17926.0
3,3,1,9017.3
3,3,2,13119.0
3,3,3,14959.0
3,3,4,14548.0
3,3,5,15029.0
3,3,6,15827.0
3,3,7,16580.0
3,3,8,17085.0
3,3,9,17656.0
3,3,10,18421.0
3,3,11,17772.0
3,3,12,19040.0
3,3,13,19845.0
3,3,14,18144.0
3,3,15,20971.0
3,3,16,19103.0
3,3,17,20360.0
3,3,18,19775.0
3,4,1,9137.1
3,4,2,12591.0
3,4,3,14792.0
3,4,4,15613.0
3,4,5,15856.0
3,4,6,16214.0
3,4,7,16355.0
3,4,8,17333.0
3,4,9,18002.0
3,4,10,19287.0
3,4,11,17715.0
3,4,12,19536.0
3,4,13,17653.0
3,4,14,19116.0
3,4,15,19353.0
3,4,16,20035.0
3,4,17,20636.0
3,4,18,19784.0
3,5,1,8928.5
3,5,2,12773.0
3,5,3,14910.0
3,5,4,15312.0
3,5,5,15810.0
3,5,6,16402.0
3,5,7,16846.0
3,5,8,16913.0
3,5,9,17888.0
3,5,10,18636.0
3,5,11,18177.0
3,5,12,19548.0
3,5,13,19162.0
3,5,14,19311.0
3,5,15,20593.0
3,5,16,19967.0
3,5,17,20674.0
3,5,18,20683.0
3,6,1,8326.6
3,6,2,12603.0
3,6,3,14618.0
3,6,4,15466.0
3,6,5,16059.0
3,6,6,16526.0
3,6,7,16084.0
3,6,8,17687.0
3,6,9,18400.0
3,6,10,19187.0
3,6,11,19227.0
3,6,12,20070.0
3,6,13,19814.0
3,6,14,18948.0
3,6,15,19391.0
3,6,16,19563.0
3,6,17,22060.0
3,6,18,21262.0
4,1,1,8823.4
4,1,2,12185.0
4,1,3,12938.0
4,1,4,12029.0
4,1,5,14879.0
4,1,6,13797.0
4,1,7,13781.0
4,1,8,14252.0
4,1,9,13562.0
4,1,10,13889.0
4,1,11,15581.0
4,1,12,14072.0
4,1,13,14385.0
4,1,14,16755.0
4,1,15,14354.0
4,1,16,14891.0
4,1,17,18081.0
4,1,18,14346.0
4,2,1,9228.7
4,2,2,12491.0
4,2,3,13479.0
4,2,4,15091.0
4,2,5,15360.0
4,2,6,14720.0
4,2,7,16783.0
4,2,8,16881.0
4,2,9,16004.0
4,2,10,17799.0
4,2,11,17917.0
4,2,12,16121.0
4,2,13,19047.0
4,2,14,18417.0
4,2,15,17926.0
4,2,16,19167.0
4,2,17,19510.0
4,2,18,17820.0
4,3,1,9356.2
4,3,2,13013.0
4,3,3,14984.0
4,3,4,14536.0
4,3,5,15654.0
4,3,6,16283.0
4,3,7,16810.0
4,3,8,16950.0
4,3,9,18216.0
4,3,10,18983.0
4,3,11,18561.0
4,3,12,18441.0
4,3,13,19103.0
4,3,14,18268.0
4,3,15,20030.0
4,3,16,19030.0
4,3,17,21605.0
4,3,18,20182.0
4,4,1,9527.2
4,4,2,12203.0
4,4,3,15042.0
4,4,4,15290.0
4,4,5,16262.0
4,4,6,16210.0
4,4,7,16742.0
4,4,8,17659.0
4,4,9,17973.0
4,4,10,19050.0
4,4,11,19209.0
4,4,12,19112.0
4,4,13,20134.0
4,4,14,18605.0
4,4,15,20582.0
4,4,16,20060.0
4,4,17,21687.0
4,4,18,20710.0
4,5,1,9560.1
4,5,2,12668.0
4,5,3,15110.0
4,5,4,15404.0
4,5,5,15577.0
4,5,6,16918.0
4,5,7,16961.0
4,5,8,17204.0
4,5,9,17479.0
4,5,10,18873.0
4,5,11,18227.0
4,5,12,19633.0
4,5,13,19578.0
4,5,14,19639.0
4,5,15,20916.0
4,5,16,18676.0
4,5,17,21488.0
4,5,18,20166.0
4,6,1,9039.4
4,6,2,12779.0
4,6,3,15333.0
4,6,4,15648.0
4,6,5,15741.0
4,6,6,16253.0
4,6,7,16851.0
4,6,8,17559.0
4,6,9,18203.0
4,6,10,19479.0
4,6,11,18891.0
4,6,12,19705.0
4,6,13,19942.0
4,6,14,20253.0
4,6,15,20591.0
4,6,16,20451.0
4,6,17,21629.0
4,6,18,21759.0
5,1,1,8785.9
5,1,2,12419.0
5,1,3,13658.0
5,1,4,12359.0
5,1,5,14485.0
5,1,6,13256.0
5,1,7,13024.0
5,1,8,15183.0
5,1,9,14224.0
5,1,10,14443.0
5,1,11,16926.0
5,1,12,14978.0
5,1,13,14360.0
5,1,14,16427.0
5,1,15,14763.0
5,1,16,14622.0
5,1,17,17414.0
5,1,18,14336.0
5,2,1,9314.4
5,2,2,13222.0
5,2,3,13744.0
5,2,4,14860.0
5,2,5,15612.0
5,2,6,14275.0
5,2,7,16747.0
5,2,8,16081.0
5,2,9,16802.0
5,2,10,18282.0
5,2,11,17492.0
5,2,12,17249.0
5,2,13,19214.0
5,2,14,18624.0
5,2,15,17585.0
5,2,16,19702.0
5,2,17,19847.0
5,2,18,17639.0
5,3,1,9461.5
5,3,2,12760.0
5,3,3,15168.0
5,3,4,15676.0
5,3,5,16101.0
5,3,6,16482.0
5,3,7,16631.0
5,3,8,17673.0
5,3,9,18218.0
5,3,10,18616.0
5,3,11,18113.0
5,3,12,19289.0
5,3,13,18910.0
5,3,14,18353.0
5,3,15,20419.0
5,3,16,19893.0
5,3,17,22391.0
5,3,18,19428.0
5,4,1,9285.2
5,4,2,12743.0
5,4,3,15186.0
5,4,4,15607.0
5,4,5,15775.0
5,4,6,16490.0
5,4,7,17128.0
5,4,8,17993.0
5,4,9,18056.0
5,4,10,18996.0
5,4,11,18231.0
5,4,12,19001.0
5,4,13,19623.0
5,4,14,19247.0
5,4,15,20414.0
5,4,16,19379.0
5,4,17,21595.0
5,4,18,21155.0
5,5,1,9270.5
5,5,2,12719.0
5,5,3,15595.0
5,5,4,15676.0
5,5,5,16032.0
5,5,6,16195.0
5,5,7,17570.0
5,5,8,17449.0
5,5,9,18204.0
5,5,10,20077.0
5,5,11,19349.0
5,5,12,19529.0
5,5,13,20216.0
5,5,14,19144.0
5,5,15,20974.0
5,5,16,19334.0
5,5,17,22298.0
5,5,18,21489.0
5,6,1,9361.5
5,6,2,12995.0
5,6,3,15180.0
5,6,4,16099.0
5,6,5,16610.0
5,6,6,16554.0
5,6,7,17031.0
5,6,8,17760.0
5,6,9,18926.0
5,6,10,20159.0
5,6,11,19565.0
5,6,12,20435.0
5,6,13,19954.0
5,6,14,19500.0
5,6,15,20572.0
5,6,16,19756.0
5,6,17,21412.0
5,6,18,21822.0
6,1,1,9179.4
6,1,2,11633.0
6,1,3,13805.0
6,1,4,12759.0
6,1,5,14072.0
6,1,6,12687.0
6,1,7,13847.0
6,1,8,15459.0
6,1,9,14161.0
6,1,10,13771.0
6,1,11,15407.0
6,1,12,13749.0
6,1,13,14391.0
6,1,14,16840.0
6,1,15,15014.0
6,1,16,14237.0
6,1,17,17818.0
6,1,18,14273.0
6,2,1,9114.0
6,2,2,12414.0
6,2,3,13566.0
6,2,4,15164.0
6,2,5,15739.0
6,2,6,14991.0
6,2,7,16818.0
6,2,8,17107.0
6,2,9,16277.0
6,2,10,18559.0
6,2,11,17694.0
6,2,12,16895.0
6,2,13,19408.0
6,2,14,18113.0
6,2,15,18242.0
6,2,16,19615.0
6,2,17,20425.0
6,2,18,17707.0
6,3,1,9943.0
6,3,2,12609.0
6,3,3,14404.0
6,3,4,15492.0
6,3,5,16033.0
6,3,6,16480.0
6,3,7,17164.0
6,3,8,17696.0
6,3,9,18325.0
6,3,10,18746.0
6,3,11,18655.0
6,3,12,19373.0
6,3,13,19780.0
6,3,14,19247.0
6,3,15,19994.0
6,3,16,19435.0
6,3,17,20371.0
6,3,18,20402.0
6,4,1,8935.8
6,4,2,12985.0
6,4,3,14833.0
6,4,4,15740.0
6,4,5,16512.0
6,4,6,16674.0
6,4,7,16280.0
6,4,8,16981.0
6,4,9,18031.0
6,4,10,19286.0
6,4,11,18674.0
6,4,12,19414.0
6,4,13,19498.0
6,4,14,18883.0
6,4,15,20326.0
6,4,16,20350.0
6,4,17,21302.0
6,4,18,20106.0
6,5,1,9999.3
6,5,2,13709.0
6,5,3,15659.0
6,5,4,15472.0
6,5,5,15831.0
6,5,6,15530.0
6,5,7,17520.0
6,5,8,17245.0
6,5,9,18479.0
6,5,10,20095.0
6,5,11,19788.0
6,5,12,19148.0
6,5,13,19531.0
6,5,14,19236.0
6,5,15,21082.0
6,5,16,19668.0
6,5,17,21433.0
6,5,18,21684.0
6,6,1,9523.8
6,6,2,13653.0
6,6,3,15529.0
6,6,4,15688.0
6,6,5,16197.0
6,6,6,16882.0
6,6,7,17261.0
6,6,8,17602.0
6,6,9,17727.0
6,6,10,19108.0
6,6,11,19495.0
6,6,12,20038.0
6,6,13,19892.0
6,6,14,20259.0
6,6,15,21412.0
6,6,16,21221.0
6,6,17,22255.0
6,6,18,20909.0
7,1,1,8941.5
7,1,2,12715.0
7,1,3,13816.0
7,1,4,12233.0
7,1,5,13982.0
7,1,6,13429.0
7,1,7,13422.0
7,1,8,15818.0
7,1,9,14009.0
7,1,10,14214.0
7,1,11,17033.0
7,1,12,13775.0
7,1,13,14269.0
7,1,14,17703.0
7,1,15,13955.0
7,1,16,14295.0
7,1,17,19227.0
7,1,18,14198.0
7,2,1,9294.6
7,2,2,12429.0
7,2,3,14373.0
7,2,4,15370.0
7,2,5,14956.0
7,2,6,15781.0
7,2,7,16165.0
7,2,8,17097.0
7,2,9,16159.0
7,2,10,18753.0
7,2,11,18081.0
7,2,12,17471.0
7,2,13,19275.0
7,2,14,17959.0
7,2,15,18042.0
7,2,16,20669.0
7,2,17,20673.0
7,2,18,17662.0
7,3,1,9545.5
7,3,2,12993.0
7,3,3,15295.0
7,3,4,15222.0
7,3,5,16290.0
7,3,6,16835.0
7,3,7,17098.0
7,3,8,17395.0
7,3,9,18581.0
7,3,10,18560.0
7,3,11,18362.0
7,3,12,19484.0
7,3,13,19717.0
7,3,14,18691.0
7,3,15,20757.0
7,3,16,20476.0
7,3,17,22119.0
7,3,18,21044.0
7,4,1,9806.9
7,4,2,13336.0
7,4,3,15573.0
7,4,4,16347.0
7,4,5,16245.0
7,4,6,17112.0
7,4,7,16671.0
7,4,8,17128.0
7,4,9,17595.0
7,4,10,19459.0
7,4,11,19619.0
7,4,12,19658.0
7,4,13,20307.0
7,4,14,19196.0
7,4,15,20288.0
7,4,16,19656.0
7,4,17,21406.0
7,4,18,21293.0
7,5,1,9911.0
7,5,2,13210.0
7,5,3,15416.0
7,5,4,15851.0
7,5,5,15925.0
7,5,6,16743.0
7,5,7,17619.0
7,5,8,17780.0
7,5,9,17917.0
7,5,10,18518.0
7,5,11,18934.0
7,5,12,20426.0
7,5,13,20090.0
7,5,14,18602.0
7,5,15,20839.0
7,5,16,20395.0
7,5,17,21396.0
7,5,18,21285.0
7,6,1,9488.6
7,6,2,13776.0
7,6,3,15411.0
7,6,4,16247.0
7,6,5,16080.0
7,6,6,16851.0
7,6,7,17468.0
7,6,8,17943.0
7,6,9,18573.0
7,6,10,19514.0
7,6,11,19409.0
7,6,12,20069.0
7,6,13,20802.0
7,6,14,19884.0
7,6,15,21385.0
7,6,16,20405.0
7,6,17,22171.0
7,6,18,21098.0
8,1,1,8724.8
8,1,2,12467.0
8,1,3,12887.0
8,1,4,12864.0
8,1,5,14983.0
8,1,6,13287.0
8,1,7,13003.0
8,1,8,16179.0
8,1,9,14181.0
8,1,10,15131.0
8,1,11,16861.0
8,1,12,14735.0
8,1,13,15152.0
8,1,14,17062.0
8,1,15,14442.0
8,1,16,14363.0
8,1,17,19303.0
8,1,18,13997.0
8,2,1,9215.1
8,2,2,13030.0
8,2,3,14062.0
8,2,4,15248.0
8,2,5,16060.0
8,2,6,15545.0
8,2,7,17067.0
8,2,8,16770.0
8,2,9,16869.0
8,2,10,18706.0
8,2,11,18609.0
8,2,12,17870.0
8,2,13,19200.0
8,2,14,18744.0
8,2,15,17962.0
8,2,16,19953.0
8,2,17,19245.0
8,2,18,18001.0
8,3,1,9996.4
8,3,2,13259.0
8,3,3,15210.0
8,3,4,15661.0
8,3,5,16742.0
8,3,6,16310.0
8,3,7,17044.0
8,3,8,17876.0
8,3,9,18424.0
8,3,10,18431.0
8,3,11,19251.0
8,3,12,20028.0
8,3,13,20017.0
8,3,14,19424.0
8,3,15,20591.0
8,3,16,19473.0
8,3,17,21004.0
8,3,18,20694.0
8,4,1,9611.9
8,4,2,12539.0
8,4,3,15841.0
8,4,4,16226.0
8,4,5,16945.0
8,4,6,16367.0
8,4,7,17134.0
8,4,8,17532.0
8,4,9,18960.0
8,4,10,19286.0
8,4,11,18754.0
8,4,12,20574.0
8,4,13,19675.0
8,4,14,19128.0
8,4,15,21201.0
8,4,16,19698.0
8,4,17,21847.0
8,4,18,20500.0
8,5,1,9101.3
8,5,2,13363.0
8,5,3,16116.0
8,5,4,16335.0
8,5,5,16135.0
8,5,6,15912.0
8,5,7,17365.0
8,5,8,17647.0
8,5,9,18941.0
8,5,10,19032.0
8,5,11,19579.0
8,5,12,19777.0
8,5,13,20863.0
8,5,14,19344.0
8,5,15,20649.0
8,5,16,19439.0
8,5,17,21828.0
8,5,18,20587.0
8,6,1,9805.8
8,6,2,13460.0
8,6,3,16004.0
8,6,4,16268.0
8,6,5,16973.0
8,6,6,16913.0
8,6,7,17306.0
8,6,8,17809.0
8,6,9,19047.0
8,6,10,18971.0
8,6,11,19933.0
8,6,12,20300.0
8,6,13,20710.0
8,6,14,19744.0
8,6,15,21615.0
8,6,16,21178.0
8,6,17,22887.0
8,6,18,22323.0
9,1,1,9038.4
9,1,2,12958.0
9,1,3,13217.0
9,1,4,12969.0
9,1,5,15014.0
9,1,6,14432.0
9,1,7,13780.0
9,1,8,16708.0
9,1,9,13854.0
9,1,10,14253.0
9,1,11,17740.0
9,1,12,14153.0
9,1,13,14237.0
9,1,14,17554.0
9,1,15,15548.0
9,1,16,14631.0
9,1,17,18035.0
9,1,18,15193.0
9,2,1,9119.2
9,2,2,13621.0
9,2,3,13946.0
9,2,4,15208.0
9,2,5,15337.0
9,2,6,15580.0
9,2,7,15720.0
9,2,8,17610.0
9,2,9,15836.0
9,2,10,18028.0
9,2,11,18044.0
9,2,12,17827.0
9,2,13,19210.0
9,2,14,19128.0
9,2,15,17953.0
9,2,16,19705.0
9,2,17,20515.0
9,2,18,17834.0
9,3,1,9865.6
9,3,2,13232.0
9,3,3,15559.0
9,3,4,15909.0
9,3,5,16556.0
9,3,6,17466.0
9,3,7,17323.0
9,3,8,17857.0
9,3,9,18594.0
9,3,10,20246.0
9,3,11,19562.0
9,3,12,20720.0
9,3,13,19623.0
9,3,14,19530.0
9,3,15,21126.0
9,3,16,20945.0
9,3,17,22430.0
9,3,18,21148.0
9,4,1,9792.8
9,4,2,12555.0
9,4,3,15361.0
9,4,4,15472.0
9,4,5,16296.0
9,4,6,17268.0
9,4,7,16573.0
9,4,8,18238.0
9,4,9,18358.0
9,4,10,18579.0
9,4,11,19424.0
9,4,12,20231.0
9,4,13,20225.0
9,4,14,18716.0
9,4,15,20460.0
9,4,16,20019.0
9,4,17,21317.0
9,4,18,21112.0
9,5,1,9977.5
9,5,2,13537.0
9,5,3,15596.0
9,5,4,16427.0
9,5,5,16561.0
9,5,6,16927.0
9,5,7,16390.0
9,5,8,17788.0
9,5,9,18515.0
9,5,10,20071.0
9,5,11,19176.0
9,5,12,19708.0
9,5,13,20223.0
9,5,14,19464.0
9,5,15,20818.0
9,5,16,20168.0
9,5,17,22419.0
9,5,18,20111.0
9,6,1,9685.8
9,6,2,13645.0
9,6,3,15837.0
9,6,4,16336.0
9,6,5,16678.0
9,6,6,17239.0
9,6,7,17840.0
9,6,8,18180.0
9,6,9,18139.0
9,6,10,19502.0
9,6,11,19893.0
9,6,12,20852.0
9,6,13,20492.0
9,6,14,19284.0
9,6,15,21237.0
9,6,16,21176.0
9,6,17,22799.0
9,6,18,22063.0
10,1,1,8904.2
10,1,2,12554.0
10,1,3,13816.0
10,1,4,13309.0
10,1,5,14497.0
10,1,6,12490.0
10,1,7,13938.0
10,1,8,15960.0
10,1,9,13426.0
10,1,10,14225.0
10,1,11,16423.0
10,1,12,14151.0
10,1,13,14791.0
10,1,14,17349.0
10,1,15,14279.0
10,1,16,14224.0
10,1,17,18746.0
10,1,18,15186.0
10,2,1,9113.5
10,2,2,12349.0
10,2,3,14577.0
10,2,4,15810.0
10,2,5,16268.0
10,2,6,15517.0
10,2,7,16825.0
10,2,8,17456.0
10,2,9,17208.0
10,2,10,18941.0
10,2,11,18904.0
10,2,12,17303.0
10,2,13,19489.0
10,2,14,19955.0
10,2,15,18707.0
10,2,16,19697.0
10,2,17,20561.0
10,2,18,17681.0
10,3,1,10182.0
10,3,2,12344.0
10,3,3,15591.0
10,3,4,15512.0
10,3,5,15856.0
10,3,6,16763.0
10,3,7,16924.0
10,3,8,17823.0
10,3,9,19044.0
10,3,10,19847.0
10,3,11,19468.0
10,3,12,19457.0
10,3,13,19980.0
10,3,14,19013.0
10,3,15,20988.0
10,3,16,20317.0
10,3,17,21811.0
10,3,18,21021.0
10,4,1,9717.5
10,4,2,13128.0
10,4,3,15884.0
10,4,4,16618.0
10,4,5,17027.0
10,4,6,16733.0
10,4,7,17472.0
10,4,8,17966.0
10,4,9,18797.0
10,4,10,19437.0
10,4,11,18628.0
10,4,12,19995.0
10,4,13,20833.0
10,4,14,18964.0
10,4,15,22101.0
10,4,16,20584.0
10,4,17,21975.0
10,4,18,21246.0
10,5,1,9671.6
10,5,2,13170.0
10,5,3,15861.0
10,5,4,16983.0
10,5,5,16406.0
10,5,6,16840.0
10,5,7,17759.0
10,5,8,18144.0
10,5,9,18295.0
10,5,10,18769.0
10,5,11,20034.0
10,5,12,20586.0
10,5,13,20963.0
10,5,14,19812.0
10,5,15,20678.0
10,5,16,20338.0
10,5,17,22459.0
10,5,18,21809.0
10,6,1,9863.8
10,6,2,13023.0
10,6,3,16316.0
10,6,4,16195.0
10,6,5,16330.0
10,6,6,17375.0
10,6,7,18059.0
10,6,8,18098.0
10,6,9,19412.0
10,6,10,20358.0
10,6,11,18388.0
10,6,12,21156.0
10,6,13,20117.0
10,6,14,20372.0
10,6,15,21456.0
10,6,16,21072.0
10,6,17,23075.0
10,6,18,22124.0
100,1,1,9045.7
100,1,2,12813.0
100,1,3,12533.0
100,1,4,12321.0
100,1,5,14598.0
100,1,6,13741.0
100,1,7,13092.0
100,1,8,16693.0
100,1,9,13056.0
100,1,10,14659.0
100,1,11,18255.0
100,1,12,13393.0
100,1,13,15583.0
100,1,14,18060.0
100,1,15,15287.0
100,1,16,14937.0
100,1,17,18676.0
100,1,18,14237.0
100,2,1,9799.9
100,2,2,12896.0
100,2,3,13319.0
100,2,4,14985.0
100,2,5,15296.0
100,2,6,16379.0
100,2,7,17395.0
100,2,8,17503.0
100,2,9,18437.0
100,2,10,19895.0
100,2,11,18938.0
100,2,12,17963.0
100,2,13,20294.0
100,2,14,19076.0
100,2,15,18242.0
100,2,16,20312.0
100,2,17,18829.0
100,2,18,19203.0
100,3,1,9372.9
100,3,2,12879.0
100,3,3,15037.0
100,3,4,15172.0
100,3,5,14891.0
100,3,6,17433.0
100,3,7,17151.0
100,3,8,17411.0
100,3,9,18875.0
100,3,10,17815.0
100,3,11,18535.0
100,3,12,19937.0
100,3,13,19581.0
100,3,14,19574.0
100,3,15,20907.0
100,3,16,19475.0
100,3,17,20703.0
100,3,18,20391.0
100,4,1,9769.1
100,4,2,13006.0
100,4,3,14542.0
100,4,4,15496.0
100,4,5,16116.0
100,4,6,16985.0
100,4,7,16493.0
100,4,8,16940.0
100,4,9,18585.0
100,4,10,18951.0
100,4,11,18792.0
100,4,12,18298.0
100,4,13,19334.0
100,4,14,19635.0
100,4,15,20055.0
100,4,16,19835.0
100,4,17,20325.0
100,4,18,20473.0
100,5,1,9295.4
100,5,2,12068.0
100,5,3,15336.0
100,5,4,15194.0
100,5,5,16037.0
100,5,6,17259.0
100,5,7,17630.0
100,5,8,18330.0
100,5,9,18929.0
100,5,10,19647.0
100,5,11,18847.0
100,5,12,19873.0
100,5,13,20157.0
100,5,14,19592.0
100,5,15,20744.0
100,5,16,19504.0
100,5,17,21070.0
100,5,18,20923.0
100,6,1,9491.4
100,6,2,12558.0
100,6,3,14984.0
100,6,4,15332.0
100,6,5,16328.0
100,6,6,17404.0
100,6,7,17561.0
100,6,8,16596.0
100,6,9,18696.0
100,6,10,19757.0
100,6,11,19693.0
100,6,12,19826.0
100,6,13,19243.0
100,6,14,18980.0
100,6,15,20247.0
100,6,16,20132.0
100,6,17,21086.0
100,6,18,20398.0
1000,1,1,2935.9
1000,1,2,2901.4
1000,1,3,2969.8
1000,1,4,2954.8
1000,1,5,2790.8
1000,1,6,3049.8
1000,1,7,3058.1
1000,1,8,2958.1
1000,1,9,2927.1
1000,1,10,3009.6
1000,1,11,2936.1
1000,1,12,2890.0
1000,1,13,2906.4
1000,1,14,2898.3
1000,1,15,2987.4
1000,1,16,2980.0
1000,1,17,2853.9
1000,1,18,3027.8
1000,2,1,2958.2
1000,2,2,2917.5
1000,2,3,3014.6
1000,2,4,3032.6
1000,2,5,2934.9
1000,2,6,2981.1
1000,2,7,2958.6
1000,2,8,2965.1
1000,2,9,3056.3
1000,2,10,3107.6
1000,2,11,3027.8
1000,2,12,3076.1
1000,2,13,3050.5
1000,2,14,3067.6
1000,2,15,3059.8
1000,2,16,2900.9
1000,2,17,3044.9
1000,2,18,2919.8
1000,3,1,2952.8
1000,3,2,3145.2
1000,3,3,3096.6
1000,3,4,3174.3
1000,3,5,3100.2
1000,3,6,3072.2
1000,3,7,3148.3
1000,3,8,3105.0
1000,3,9,3283.9
1000,3,10,3074.8
1000,3,11,3056.1
1000,3,12,3234.8
1000,3,13,3136.9
1000,3,14,3084.3
1000,3,15,3045.4
1000,3,16,3035.6
1000,3,17,3036.7
1000,3,18,3138.6
1000,4,1,3008.9
1000,4,2,2988.8
1000,4,3,3042.7
1000,4,4,3291.8
1000,4,5,3062.4
1000,4,6,3077.6
1000,4,7,3122.1
1000,4,8,3231.3
1000,4,9,3221.8
1000,4,10,3341.6
1000,4,11,3401.1
1000,4,12,2892.1
1000,4,13,3321.6
1000,4,14,3127.7
1000,4,15,3032.4
1000,4,16,3267.1
1000,4,17,3259.9
1000,4,18,3232.2
1000,5,1,3146.1
1000,5,2,2990.2
