Spouts,Max_spout,Topology_level,Netty_min_wait,Message_size,Bolts,Throughput-
1.0,1.0,3.0,100.0,100.0,2.0,6580.6
1.0,1.0,3.0,100.0,100.0,3.0,6545.4
1.0,1.0,3.0,100.0,100.0,6.0,6513.9
1.0,1.0,3.0,100.0,1000.0,1.0,6307.4
1.0,1.0,3.0,100.0,1000.0,2.0,6634.6
1.0,1.0,3.0,100.0,1000.0,3.0,6588.4
1.0,1.0,3.0,100.0,1000.0,6.0,6382.7
1.0,1.0,3.0,100.0,10000.0,1.0,2846.7
1.0,1.0,3.0,100.0,10000.0,2.0,4313.5
1.0,1.0,3.0,100.0,10000.0,3.0,4128.4
1.0,1.0,3.0,100.0,10000.0,6.0,4079.4
1.0,1.0,3.0,100.0,100000.0,1.0,1351.2
1.0,1.0,3.0,100.0,100000.0,2.0,1635.5
1.0,1.0,3.0,100.0,100000.0,3.0,1916.9
1.0,1.0,3.0,100.0,100000.0,6.0,1867.6
1.0,1.0,3.0,100.0,1000000.0,1.0,244.83
1.0,1.0,3.0,100.0,1000000.0,2.0,304.39
1.0,1.0,3.0,100.0,1000000.0,3.0,295.59
1.0,1.0,3.0,100.0,1000000.0,6.0,296.89
1.0,1.0,3.0,1000.0,10.0,1.0,6488.7
1.0,1.0,3.0,1000.0,10.0,2.0,6497.5
1.0,1.0,3.0,1000.0,10.0,3.0,6545.2
1.0,1.0,3.0,1000.0,10.0,6.0,6525.8
1.0,1.0,3.0,1000.0,100.0,1.0,6494.7
1.0,1.0,3.0,1000.0,100.0,2.0,6543.8
1.0,1.0,3.0,1000.0,100.0,3.0,6534.0
1.0,1.0,3.0,1000.0,100.0,6.0,6481.8
1.0,1.0,3.0,1000.0,1000.0,1.0,6357.8
1.0,1.0,3.0,1000.0,1000.0,2.0,6549.1
1.0,1.0,3.0,1000.0,1000.0,3.0,6303.2
1.0,1.0,3.0,1000.0,1000.0,6.0,6489.9
1.0,1.0,3.0,1000.0,10000.0,1.0,2648.5
1.0,1.0,3.0,1000.0,10000.0,2.0,4237.7
1.0,1.0,3.0,1000.0,10000.0,3.0,4244.2
1.0,1.0,3.0,1000.0,10000.0,6.0,4179.9
1.0,1.0,3.0,1000.0,100000.0,1.0,1370.2
1.0,1.0,3.0,1000.0,100000.0,2.0,1722.4
1.0,1.0,3.0,1000.0,100000.0,3.0,1939.5
1.0,1.0,3.0,1000.0,100000.0,6.0,1885.8
1.0,1.0,3.0,1000.0,1000000.0,1.0,219.0
1.0,1.0,3.0,1000.0,1000000.0,2.0,296.72
1.0,1.0,3.0,1000.0,1000000.0,3.0,273.5
1.0,1.0,3.0,1000.0,1000000.0,6.0,270.61
1.0,1.0,4.0,10.0,10.0,1.0,5860.3
1.0,1.0,4.0,10.0,10.0,2.0,5137.3
1.0,1.0,4.0,10.0,10.0,3.0,4773.8
1.0,1.0,4.0,10.0,10.0,6.0,4826.1
1.0,1.0,4.0,10.0,100.0,1.0,5908.3
1.0,1.0,4.0,10.0,100.0,2.0,5322.1
1.0,1.0,4.0,10.0,100.0,3.0,4998.7
1.0,1.0,4.0,10.0,100.0,6.0,4811.9
1.0,1.0,4.0,10.0,1000.0,1.0,5764.6
1.0,1.0,4.0,10.0,1000.0,2.0,5101.6
1.0,1.0,4.0,10.0,1000.0,3.0,5158.6
1.0,1.0,4.0,10.0,1000.0,6.0,4836.5
1.0,1.0,4.0,10.0,10000.0,1.0,3249.1
1.0,1.0,4.0,10.0,10000.0,2.0,3103.3
1.0,1.0,4.0,10.0,10000.0,3.0,2849.2
1.0,1.0,4.0,10.0,10000.0,6.0,2818.9
1.0,1.0,4.0,10.0,100000.0,1.0,1287.8
1.0,1.0,4.0,10.0,100000.0,2.0,1284.1
1.0,1.0,4.0,10.0,100000.0,3.0,1343.6
1.0,1.0,4.0,10.0,100000.0,6.0,1306.8
1.0,1.0,4.0,10.0,1000000.0,1.0,219.18
1.0,1.0,4.0,10.0,1000000.0,2.0,206.44
1.0,1.0,4.0,10.0,1000000.0,3.0,210.28
1.0,1.0,4.0,10.0,1000000.0,6.0,208.47
1.0,1.0,4.0,100.0,10.0,1.0,6263.1
1.0,1.0,4.0,100.0,10.0,2.0,5517.2
1.0,1.0,4.0,100.0,10.0,3.0,5065.2
1.0,1.0,4.0,100.0,10.0,6.0,4938.2
1.0,1.0,4.0,100.0,100.0,1.0,6135.1
1.0,1.0,4.0,100.0,100.0,2.0,5272.1
1.0,1.0,4.0,100.0,100.0,3.0,5016.1
1.0,1.0,4.0,100.0,100.0,6.0,4975.6
1.0,1.0,4.0,100.0,1000.0,1.0,5982.3
1.0,1.0,4.0,100.0,1000.0,2.0,5145.7
1.0,1.0,4.0,100.0,1000.0,3.0,4943.8
1.0,1.0,4.0,100.0,1000.0,6.0,4954.0
1.0,1.0,4.0,100.0,10000.0,1.0,3625.7
1.0,1.0,4.0,100.0,10000.0,2.0,3265.3
1.0,1.0,4.0,100.0,10000.0,3.0,2871.2
1.0,1.0,4.0,100.0,10000.0,6.0,3187.9
1.0,1.0,4.0,100.0,100000.0,1.0,1274.3
1.0,1.0,4.0,100.0,100000.0,2.0,1413.4
1.0,1.0,4.0,100.0,100000.0,3.0,1363.7
1.0,1.0,4.0,100.0,100000.0,6.0,1339.4
1.0,1.0,4.0,100.0,1000000.0,1.0,251.0
1.0,1.0,4.0,100.0,1000000.0,2.0,190.06
1.0,1.0,4.0,100.0,1000000.0,3.0,183.65
1.0,1.0,4.0,100.0,1000000.0,6.0,200.5
1.0,1.0,4.0,1000.0,10.0,1.0,6049.1
1.0,1.0,4.0,1000.0,10.0,2.0,5383.1
1.0,1.0,4.0,1000.0,10.0,3.0,5147.8
1.0,1.0,4.0,1000.0,10.0,6.0,5098.6
1.0,1.0,4.0,1000.0,100.0,1.0,6183.9
1.0,1.0,4.0,1000.0,100.0,2.0,5168.3
1.0,1.0,4.0,1000.0,100.0,3.0,5094.2
1.0,1.0,4.0,1000.0,100.0,6.0,5029.5
1.0,1.0,4.0,1000.0,1000.0,1.0,6153.2
1.0,1.0,4.0,1000.0,1000.0,2.0,5055.4
1.0,1.0,4.0,1000.0,1000.0,3.0,5047.4
1.0,1.0,4.0,1000.0,1000.0,6.0,4864.6
1.0,1.0,4.0,1000.0,10000.0,1.0,3873.5
1.0,1.0,4.0,1000.0,10000.0,2.0,3326.7
1.0,1.0,4.0,1000.0,10000.0,3.0,3129.8
1.0,1.0,4.0,1000.0,10000.0,6.0,3049.4
1.0,1.0,4.0,1000.0,100000.0,1.0,1367.6
1.0,1.0,4.0,1000.0,100000.0,2.0,1398.8
1.0,1.0,4.0,1000.0,100000.0,3.0,1357.4
1.0,1.0,4.0,1000.0,100000.0,6.0,1248.6
1.0,1.0,4.0,1000.0,1000000.0,1.0,226.71
1.0,1.0,4.0,1000.0,1000000.0,2.0,207.17
1.0,1.0,4.0,1000.0,1000000.0,3.0,205.17
1.0,1.0,4.0,1000.0,1000000.0,6.0,228.18
1.0,1.0,5.0,10.0,10.0,1.0,4165.3
1.0,1.0,5.0,10.0,10.0,2.0,4139.1
1.0,1.0,5.0,10.0,10.0,3.0,4448.6
1.0,1.0,5.0,10.0,10.0,6.0,4300.7
1.0,1.0,5.0,10.0,100.0,1.0,4220.4
1.0,1.0,5.0,10.0,100.0,2.0,4090.2
1.0,1.0,5.0,10.0,100.0,3.0,4360.1
1.0,1.0,5.0,10.0,100.0,6.0,4352.3
1.0,1.0,5.0,10.0,1000.0,1.0,4184.1
1.0,1.0,5.0,10.0,1000.0,2.0,4116.5
1.0,1.0,5.0,10.0,1000.0,3.0,4457.8
1.0,1.0,5.0,10.0,1000.0,6.0,4247.3
1.0,1.0,5.0,10.0,10000.0,1.0,1714.7
1.0,1.0,5.0,10.0,10000.0,2.0,1954.9
1.0,1.0,5.0,10.0,10000.0,3.0,2480.2
1.0,1.0,5.0,10.0,10000.0,6.0,2473.7
1.0,1.0,5.0,10.0,100000.0,1.0,650.94
1.0,1.0,5.0,10.0,100000.0,2.0,845.56
1.0,1.0,5.0,10.0,100000.0,3.0,982.5
1.0,1.0,5.0,10.0,100000.0,6.0,1023.5
1.0,1.0,5.0,10.0,1000000.0,1.0,114.11
1.0,1.0,5.0,10.0,1000000.0,2.0,123.89
1.0,1.0,5.0,10.0,1000000.0,3.0,152.82
1.0,1.0,5.0,10.0,1000000.0,6.0,164.39
1.0,1.0,5.0,100.0,10.0,1.0,4130.0
1.0,1.0,5.0,100.0,10.0,2.0,4108.6
1.0,1.0,5.0,100.0,10.0,3.0,4394.6
1.0,1.0,5.0,100.0,10.0,6.0,4299.1
1.0,1.0,5.0,100.0,100.0,1.0,4171.8
1.0,1.0,5.0,100.0,100.0,2.0,4170.1
1.0,1.0,5.0,100.0,100.0,3.0,4348.4
1.0,1.0,5.0,100.0,100.0,6.0,4325.6
1.0,1.0,5.0,100.0,1000.0,1.0,4119.2
1.0,1.0,5.0,100.0,1000.0,2.0,4295.5
1.0,1.0,5.0,100.0,1000.0,3.0,4403.5
1.0,1.0,5.0,100.0,1000.0,6.0,4294.6
1.0,1.0,5.0,100.0,10000.0,1.0,1736.5
1.0,1.0,5.0,100.0,10000.0,2.0,2056.4
1.0,1.0,5.0,100.0,10000.0,3.0,2589.1
1.0,1.0,5.0,100.0,10000.0,6.0,2622.1
1.0,1.0,5.0,100.0,100000.0,1.0,671.33
1.0,1.0,5.0,100.0,100000.0,2.0,874.94
1.0,1.0,5.0,100.0,100000.0,3.0,1062.9
1.0,1.0,5.0,100.0,100000.0,6.0,1031.2
1.0,1.0,5.0,100.0,1000000.0,1.0,96.94
1.0,1.0,5.0,100.0,1000000.0,2.0,120.61
1.0,1.0,5.0,100.0,1000000.0,3.0,153.88
1.0,1.0,5.0,100.0,1000000.0,6.0,156.94
1.0,1.0,5.0,1000.0,10.0,1.0,3992.1
1.0,1.0,5.0,1000.0,10.0,2.0,4168.7
1.0,1.0,5.0,1000.0,10.0,3.0,4532.9
1.0,1.0,5.0,1000.0,10.0,6.0,4405.9
1.0,1.0,5.0,1000.0,100.0,1.0,4100.5
1.0,1.0,5.0,1000.0,100.0,2.0,4181.3
1.0,1.0,5.0,1000.0,100.0,3.0,4576.8
1.0,1.0,5.0,1000.0,100.0,6.0,4320.5
1.0,1.0,5.0,1000.0,1000.0,1.0,4076.6
1.0,1.0,5.0,1000.0,1000.0,2.0,3984.6
1.0,1.0,5.0,1000.0,1000.0,3.0,4261.8
1.0,1.0,5.0,1000.0,1000.0,6.0,4228.9
1.0,1.0,5.0,1000.0,10000.0,1.0,1705.3
1.0,1.0,5.0,1000.0,10000.0,2.0,2085.3
1.0,1.0,5.0,1000.0,10000.0,3.0,2566.1
1.0,1.0,5.0,1000.0,10000.0,6.0,2389.3
1.0,1.0,5.0,1000.0,100000.0,1.0,665.0
1.0,1.0,5.0,1000.0,100000.0,2.0,846.28
1.0,1.0,5.0,1000.0,100000.0,3.0,1023.9
1.0,1.0,5.0,1000.0,100000.0,6.0,1011.7
1.0,1.0,5.0,1000.0,1000000.0,1.0,108.47
1.0,1.0,5.0,1000.0,1000000.0,2.0,129.11
1.0,1.0,5.0,1000.0,1000000.0,3.0,152.17
1.0,1.0,5.0,1000.0,1000000.0,6.0,156.82
1.0,10.0,2.0,10.0,10.0,1.0,34581.0
1.0,10.0,2.0,10.0,10.0,2.0,40647.0
1.0,10.0,2.0,10.0,10.0,3.0,39987.0
1.0,10.0,2.0,10.0,10.0,6.0,37602.0
1.0,10.0,2.0,10.0,100.0,1.0,35804.0
1.0,10.0,2.0,10.0,100.0,2.0,40989.0
1.0,10.0,2.0,10.0,100.0,3.0,39055.0
1.0,10.0,2.0,10.0,100.0,6.0,37667.0
1.0,10.0,2.0,10.0,1000.0,1.0,33086.0
1.0,10.0,2.0,10.0,1000.0,2.0,38149.0
1.0,10.0,2.0,10.0,1000.0,3.0,38628.0
1.0,10.0,2.0,10.0,1000.0,6.0,37959.0
1.0,10.0,2.0,10.0,10000.0,1.0,28004.0
1.0,10.0,2.0,10.0,10000.0,2.0,34625.0
1.0,10.0,2.0,10.0,10000.0,3.0,38432.0
1.0,10.0,2.0,10.0,10000.0,6.0,37265.0
1.0,10.0,2.0,10.0,100000.0,1.0,3472.9
1.0,10.0,2.0,10.0,100000.0,2.0,3481.3
1.0,10.0,2.0,10.0,100000.0,3.0,5127.1
1.0,10.0,2.0,10.0,100000.0,6.0,5137.9
1.0,10.0,2.0,10.0,1000000.0,1.0,342.24
1.0,10.0,2.0,10.0,1000000.0,2.0,323.89
1.0,10.0,2.0,10.0,1000000.0,3.0,522.28
1.0,10.0,2.0,10.0,1000000.0,6.0,502.88
1.0,10.0,2.0,100.0,10.0,1.0,36382.0
1.0,10.0,2.0,100.0,10.0,2.0,41171.0
1.0,10.0,2.0,100.0,10.0,3.0,39219.0
1.0,10.0,2.0,100.0,10.0,6.0,38007.0
1.0,10.0,2.0,100.0,100.0,1.0,35813.0
1.0,10.0,2.0,100.0,100.0,2.0,41380.0
1.0,10.0,2.0,100.0,100.0,3.0,38925.0
1.0,10.0,2.0,100.0,100.0,6.0,36877.0
1.0,10.0,2.0,100.0,1000.0,1.0,34121.0
1.0,10.0,2.0,100.0,1000.0,2.0,38297.0
1.0,10.0,2.0,100.0,1000.0,3.0,39193.0
1.0,10.0,2.0,100.0,1000.0,6.0,37029.0
1.0,10.0,2.0,100.0,10000.0,1.0,27607.0
1.0,10.0,2.0,100.0,10000.0,2.0,34407.0
1.0,10.0,2.0,100.0,10000.0,3.0,39454.0
1.0,10.0,2.0,100.0,10000.0,6.0,38058.0
1.0,10.0,2.0,100.0,100000.0,1.0,3435.9
1.0,10.0,2.0,100.0,100000.0,2.0,3414.6
1.0,10.0,2.0,100.0,100000.0,3.0,5190.3
1.0,10.0,2.0,100.0,100000.0,6.0,5144.8
1.0,10.0,2.0,100.0,1000000.0,1.0,352.39
1.0,10.0,2.0,100.0,1000000.0,2.0,355.22
1.0,10.0,2.0,100.0,1000000.0,3.0,534.47
1.0,10.0,2.0,100.0,1000000.0,6.0,500.28
1.0,10.0,2.0,1000.0,10.0,1.0,34442.0
1.0,10.0,2.0,1000.0,10.0,2.0,40846.0
1.0,10.0,2.0,1000.0,10.0,3.0,38694.0
1.0,10.0,2.0,1000.0,10.0,6.0,38770.0
1.0,10.0,2.0,1000.0,100.0,1.0,35588.0
1.0,10.0,2.0,1000.0,100.0,2.0,41028.0
1.0,10.0,2.0,1000.0,100.0,3.0,37719.0
1.0,10.0,2.0,1000.0,100.0,6.0,37721.0
1.0,10.0,2.0,1000.0,1000.0,1.0,33941.0
1.0,10.0,2.0,1000.0,1000.0,2.0,39116.0
1.0,10.0,2.0,1000.0,1000.0,3.0,38378.0
1.0,10.0,2.0,1000.0,1000.0,6.0,36891.0
1.0,10.0,2.0,1000.0,10000.0,1.0,27479.0
1.0,10.0,2.0,1000.0,10000.0,2.0,33757.0
1.0,10.0,2.0,1000.0,10000.0,3.0,38400.0
1.0,10.0,2.0,1000.0,10000.0,6.0,35877.0
1.0,10.0,2.0,1000.0,100000.0,1.0,3418.7
1.0,10.0,2.0,1000.0,100000.0,2.0,3405.8
1.0,10.0,2.0,1000.0,100000.0,3.0,5111.2
1.0,10.0,2.0,1000.0,100000.0,6.0,5162.9
1.0,10.0,2.0,1000.0,1000000.0,1.0,333.39
1.0,10.0,2.0,1000.0,1000000.0,2.0,343.67
1.0,10.0,2.0,1000.0,1000000.0,3.0,534.33
1.0,10.0,2.0,1000.0,1000000.0,6.0,514.5
1.0,10.0,3.0,10.0,10.0,1.0,27993.0
1.0,10.0,3.0,10.0,10.0,2.0,31704.0
1.0,10.0,3.0,10.0,10.0,3.0,29147.0
1.0,10.0,3.0,10.0,10.0,6.0,28968.0
1.0,10.0,3.0,10.0,100.0,1.0,29519.0
1.0,10.0,3.0,10.0,100.0,2.0,31244.0
1.0,10.0,3.0,10.0,100.0,3.0,29994.0
1.0,10.0,3.0,10.0,100.0,6.0,28979.0
1.0,10.0,3.0,10.0,1000.0,1.0,28659.0
1.0,10.0,3.0,10.0,1000.0,2.0,30594.0
1.0,10.0,3.0,10.0,1000.0,3.0,28310.0
1.0,10.0,3.0,10.0,1000.0,6.0,28755.0
1.0,10.0,3.0,10.0,10000.0,1.0,20785.0
1.0,10.0,3.0,10.0,10000.0,2.0,26918.0
1.0,10.0,3.0,10.0,10000.0,3.0,26984.0
1.0,10.0,3.0,10.0,10000.0,6.0,26806.0
1.0,10.0,3.0,10.0,100000.0,1.0,3320.1
1.0,10.0,3.0,10.0,100000.0,2.0,3294.9
1.0,10.0,3.0,10.0,100000.0,3.0,3782.1
1.0,10.0,3.0,10.0,100000.0,6.0,3885.6
1.0,10.0,3.0,10.0,1000000.0,1.0,339.44
1.0,10.0,3.0,10.0,1000000.0,2.0,333.47
1.0,10.0,3.0,10.0,1000000.0,3.0,377.33
1.0,10.0,3.0,10.0,1000000.0,6.0,363.78
1.0,10.0,3.0,100.0,10.0,1.0,28897.0
1.0,10.0,3.0,100.0,10.0,2.0,33209.0
1.0,10.0,3.0,100.0,10.0,3.0,29281.0
1.0,10.0,3.0,100.0,10.0,6.0,28492.0
1.0,10.0,3.0,100.0,100.0,1.0,29303.0
1.0,10.0,3.0,100.0,100.0,2.0,32237.0
1.0,10.0,3.0,100.0,100.0,3.0,29171.0
1.0,10.0,3.0,100.0,100.0,6.0,27951.0
1.0,10.0,3.0,100.0,1000.0,1.0,28022.0
1.0,10.0,3.0,100.0,1000.0,2.0,30949.0
1.0,10.0,3.0,100.0,1000.0,3.0,28758.0
1.0,10.0,3.0,100.0,1000.0,6.0,27976.0
1.0,10.0,3.0,100.0,10000.0,1.0,20805.0
1.0,10.0,3.0,100.0,10000.0,2.0,26506.0
1.0,10.0,3.0,100.0,10000.0,3.0,28128.0
1.0,10.0,3.0,100.0,10000.0,6.0,26485.0
1.0,10.0,3.0,100.0,100000.0,1.0,3389.7
1.0,10.0,3.0,100.0,100000.0,2.0,3470.6
1.0,10.0,3.0,100.0,100000.0,3.0,3935.2
1.0,10.0,3.0,100.0,100000.0,6.0,3859.9
1.0,10.0,3.0,100.0,1000000.0,1.0,337.18
1.0,10.0,3.0,100.0,1000000.0,2.0,314.94
1.0,10.0,3.0,100.0,1000000.0,3.0,399.28
1.0,10.0,3.0,100.0,1000000.0,6.0,395.35
1.0,10.0,3.0,1000.0,10.0,1.0,31281.0
1.0,10.0,3.0,1000.0,10.0,2.0,31751.0
1.0,10.0,3.0,1000.0,10.0,3.0,29195.0
1.0,10.0,3.0,1000.0,10.0,6.0,29094.0
1.0,10.0,3.0,1000.0,100.0,1.0,27988.0
1.0,10.0,3.0,1000.0,100.0,2.0,32121.0
1.0,10.0,3.0,1000.0,100.0,3.0,29642.0
1.0,10.0,3.0,1000.0,100.0,6.0,29676.0
1.0,10.0,3.0,1000.0,1000.0,1.0,29108.0
1.0,10.0,3.0,1000.0,1000.0,2.0,31177.0
1.0,10.0,3.0,1000.0,1000.0,3.0,29260.0
1.0,10.0,3.0,1000.0,1000.0,6.0,30038.0
1.0,10.0,3.0,1000.0,10000.0,1.0,21454.0
1.0,10.0,3.0,1000.0,10000.0,2.0,28083.0
1.0,10.0,3.0,1000.0,10000.0,3.0,27227.0
1.0,10.0,3.0,1000.0,10000.0,6.0,25660.0
1.0,10.0,3.0,1000.0,100000.0,1.0,3368.4
1.0,10.0,3.0,1000.0,100000.0,2.0,3477.0
1.0,10.0,3.0,1000.0,100000.0,3.0,3785.9
1.0,10.0,3.0,1000.0,100000.0,6.0,3830.6
1.0,10.0,3.0,1000.0,1000000.0,1.0,345.67
1.0,10.0,3.0,1000.0,1000000.0,2.0,343.0
1.0,10.0,3.0,1000.0,1000000.0,3.0,407.41
1.0,10.0,3.0,1000.0,1000000.0,6.0,383.22
1.0,10.0,4.0,10.0,10.0,1.0,25052.0
1.0,10.0,4.0,10.0,10.0,2.0,26578.0
1.0,10.0,4.0,10.0,10.0,3.0,25539.0
1.0,10.0,4.0,10.0,10.0,6.0,24363.0
1.0,10.0,4.0,10.0,100.0,1.0,24537.0
1.0,10.0,4.0,10.0,100.0,2.0,26440.0
1.0,10.0,4.0,10.0,100.0,3.0,25066.0
1.0,10.0,4.0,10.0,100.0,6.0,24782.0
1.0,10.0,4.0,10.0,1000.0,1.0,24660.0
1.0,10.0,4.0,10.0,1000.0,2.0,25455.0
1.0,10.0,4.0,10.0,1000.0,3.0,24835.0
1.0,10.0,4.0,10.0,1000.0,6.0,24106.0
1.0,10.0,4.0,10.0,10000.0,1.0,18942.0
1.0,10.0,4.0,10.0,10000.0,2.0,21774.0
1.0,10.0,4.0,10.0,10000.0,3.0,20964.0
1.0,10.0,4.0,10.0,10000.0,6.0,20052.0
1.0,10.0,4.0,10.0,100000.0,1.0,3369.9
1.0,10.0,4.0,10.0,100000.0,2.0,2665.1
1.0,10.0,4.0,10.0,100000.0,3.0,3050.1
1.0,10.0,4.0,10.0,100000.0,6.0,3041.0
1.0,10.0,4.0,10.0,1000000.0,1.0,346.11
1.0,10.0,4.0,10.0,1000000.0,2.0,279.12
1.0,10.0,4.0,10.0,1000000.0,3.0,287.72
1.0,10.0,4.0,10.0,1000000.0,6.0,317.24
1.0,10.0,4.0,100.0,10.0,1.0,23892.0
1.0,10.0,4.0,100.0,10.0,2.0,26984.0
1.0,10.0,4.0,100.0,10.0,3.0,25243.0
1.0,10.0,4.0,100.0,10.0,6.0,24516.0
1.0,10.0,4.0,100.0,100.0,1.0,24898.0
1.0,10.0,4.0,100.0,100.0,2.0,26164.0
1.0,10.0,4.0,100.0,100.0,3.0,25608.0
1.0,10.0,4.0,100.0,100.0,6.0,24551.0
1.0,10.0,4.0,100.0,1000.0,1.0,24816.0
1.0,10.0,4.0,100.0,1000.0,2.0,25330.0
1.0,10.0,4.0,100.0,1000.0,3.0,25022.0
1.0,10.0,4.0,100.0,1000.0,6.0,24293.0
1.0,10.0,4.0,100.0,10000.0,1.0,18323.0
1.0,10.0,4.0,100.0,10000.0,2.0,21390.0
1.0,10.0,4.0,100.0,10000.0,3.0,20895.0
1.0,10.0,4.0,100.0,10000.0,6.0,20256.0
1.0,10.0,4.0,100.0,100000.0,1.0,3439.6
1.0,10.0,4.0,100.0,100000.0,2.0,2751.6
1.0,10.0,4.0,100.0,100000.0,3.0,3057.6
1.0,10.0,4.0,100.0,100000.0,6.0,3077.3
1.0,10.0,4.0,100.0,1000000.0,1.0,314.61
1.0,10.0,4.0,100.0,1000000.0,2.0,288.5
