N_estimators,criterion,Min_sample_leaves,Min_impurity_decrease,Max_depth,ACC+
150,squared_error,10,8.5,18,-13.11
90,squared_error,3,6.75,9,-12.59
140,absolute_error,6,1.5,4,0.0
200,poisson,6,9.25,2,-12.8
110,poisson,19,0.5,15,-12.38
140,poisson,15,6.0,20,-12.44
190,squared_error,17,7.25,15,-12.72
100,absolute_error,13,7.0,15,0.0
70,poisson,15,4.25,3,-12.57
120,absolute_error,16,4.75,19,0.0
130,absolute_error,14,9.75,10,0.0
120,poisson,19,0.25,10,-12.5
150,squared_error,10,4.5,2,-12.4
130,poisson,4,2.0,7,-12.78
30,absolute_error,20,0.25,9,0.0
20,poisson,3,1.0,17,-13.61
30,squared_error,15,4.0,12,-13.8
60,poisson,15,5.25,17,-12.46
40,poisson,1,7.0,17,-13.25
180,poisson,8,4.25,20,-12.83
120,absolute_error,20,9.75,2,0.0
140,poisson,8,1.25,9,-13.04
50,absolute_error,20,4.25,2,0.0
90,poisson,6,7.75,2,-12.09
70,absolute_error,18,7.25,4,0.0
60,poisson,20,7.25,2,-12.54
20,squared_error,2,9.75,10,-11.55
120,absolute_error,11,7.0,5,0.0
160,squared_error,6,1.75,13,-11.85
60,squared_error,19,7.0,14,-12.37
100,absolute_error,9,2.75,19,0.0
130,poisson,20,6.0,19,-12.01
130,squared_error,19,9.25,19,-12.32
100,squared_error,13,4.0,18,-12.53
180,squared_error,4,3.0,3,-12.19
120,poisson,18,2.5,5,-12.43
170,squared_error,17,7.0,13,-12.31
190,absolute_error,19,6.0,5,-1.51
180,squared_error,2,8.0,9,-12.77
120,absolute_error,17,5.75,11,0.0
120,absolute_error,6,9.25,6,-0.81
200,squared_error,15,6.25,15,-12.72
140,squared_error,1,0.0,17,-10.76
100,poisson,16,8.5,10,-12.29
90,poisson,20,9.75,6,-12.35
60,poisson,11,8.25,10,-11.26
70,squared_error,6,9.75,13,-11.85
60,squared_error,8,6.75,19,-13.33
180,absolute_error,7,8.75,16,-0.55
90,squared_error,8,5.75,15,-13.04
90,squared_error,17,3.5,18,-12.87
200,poisson,2,7.5,17,-12.78
120,poisson,9,5.25,2,-13.25
190,squared_error,2,4.5,4,-12.46
100,absolute_error,1,0.0,8,-7.56
10,absolute_error,6,4.0,2,-7.69
70,absolute_error,11,5.0,11,0.0
70,squared_error,3,0.75,19,-11.77
140,squared_error,4,6.75,13,-12.35
190,squared_error,9,2.25,7,-11.81
150,squared_error,16,6.5,11,-12.6
120,squared_error,4,3.0,12,-13.13
160,squared_error,14,5.5,19,-12.3
120,poisson,4,5.5,15,-12.48
110,poisson,7,5.25,18,-12.28
70,squared_error,13,1.75,14,-12.35
130,absolute_error,6,0.75,9,-1.47
180,poisson,13,8.75,5,-12.76
160,squared_error,3,9.5,1,-11.93
110,absolute_error,4,9.0,3,0.0
30,squared_error,12,5.5,5,-13.09
140,squared_error,2,4.0,2,-12.67
70,poisson,12,1.25,16,-12.12
170,absolute_error,20,0.75,19,-0.58
90,squared_error,20,3.5,19,-11.56
90,poisson,5,7.5,10,-12.7
80,absolute_error,17,6.75,3,0.0
120,poisson,14,4.0,10,-12.61
200,squared_error,9,5.5,12,-12.78
20,squared_error,3,1.5,7,-12.63
120,squared_error,12,6.5,10,-13.03
200,absolute_error,16,1.25,3,-0.97
10,poisson,5,9.0,4,-13.49
60,squared_error,2,5.25,3,-12.67
170,squared_error,12,0.25,17,-12.56
200,absolute_error,6,5.0,3,0.0
170,squared_error,13,2.75,9,-12.59
180,absolute_error,1,9.25,5,-0.55
140,squared_error,9,1.25,6,-12.88
180,absolute_error,5,0.25,14,-0.81
130,absolute_error,8,1.5,6,0.0
50,poisson,19,7.5,5,-13.2
100,squared_error,12,1.25,11,-13.13
50,squared_error,13,9.75,17,-11.29
70,poisson,1,5.75,10,-12.9
170,poisson,8,8.25,9,-13.17
130,absolute_error,15,4.5,1,-0.75
100,poisson,20,5.5,14,-12.6
50,poisson,5,7.75,6,-12.24
10,absolute_error,18,9.5,4,0.0
10,poisson,15,6.25,10,-11.11
20,absolute_error,5,8.5,19,0.0
10,poisson,15,10.0,12,-13.25
100,absolute_error,19,5.75,18,0.0
60,poisson,18,10.0,8,-12.67
70,squared_error,10,1.0,10,-12.97
70,absolute_error,17,2.0,17,0.0
140,poisson,2,9.5,3,-12.5
140,absolute_error,5,7.25,15,-1.37
60,poisson,14,8.25,12,-12.76
140,absolute_error,2,8.5,4,-1.37
120,absolute_error,18,3.25,11,0.0
140,poisson,2,1.25,9,-12.31
140,squared_error,9,1.75,13,-12.18
190,squared_error,13,8.75,4,-12.74
60,poisson,20,1.75,17,-13.8
160,absolute_error,3,2.25,16,-1.78
50,squared_error,20,0.75,19,-12.13
180,squared_error,13,5.75,4,-12.81
170,poisson,18,8.5,11,-12.71
200,poisson,1,9.75,13,-12.54
90,squared_error,13,9.5,20,-12.64
60,absolute_error,12,8.75,3,0.0
10,poisson,10,6.5,11,-14.39
40,squared_error,6,7.5,1,-11.97
10,squared_error,17,6.0,5,-10.81
160,absolute_error,5,5.0,2,0.0
20,absolute_error,20,9.5,13,0.0
10,squared_error,3,5.25,1,-10.5
110,squared_error,16,2.25,16,-12.52
100,poisson,10,3.0,15,-11.46
90,poisson,2,0.0,12,-15.91
180,absolute_error,19,2.0,3,0.0
20,absolute_error,4,3.5,18,-4.35
10,poisson,14,8.25,15,-14.18
180,poisson,13,2.5,18,-13.02
110,absolute_error,20,10.0,18,-0.88
10,absolute_error,14,9.0,14,0.0
130,absolute_error,8,1.25,1,0.0
90,squared_error,20,1.0,7,-12.5
200,squared_error,9,8.5,14,-12.8
180,absolute_error,3,1.25,4,0.0
150,absolute_error,7,9.0,13,0.0
10,squared_error,5,9.0,11,-12.24
70,squared_error,6,9.25,18,-12.68
170,poisson,3,2.5,3,-12.09
80,squared_error,2,4.5,1,-12.53
30,squared_error,18,0.75,11,-12.32
90,poisson,2,1.75,18,-12.81
20,poisson,4,1.5,17,-12.63
50,squared_error,9,0.75,20,-11.52
160,squared_error,20,4.25,15,-12.76
110,poisson,20,2.25,4,-12.57
40,absolute_error,7,7.0,18,0.0
170,poisson,1,3.0,16,-12.58
60,squared_error,19,7.5,15,-12.59
130,squared_error,4,0.25,5,-12.36
200,absolute_error,3,6.5,9,0.0
50,absolute_error,1,9.75,13,0.0
60,poisson,4,6.5,1,-12.8
130,absolute_error,16,5.25,19,-0.75
120,squared_error,4,5.5,8,-12.74
180,poisson,3,8.0,7,-12.32
200,squared_error,2,5.75,3,-12.37
140,squared_error,17,6.5,2,-12.95
150,squared_error,18,7.75,1,-12.13
90,absolute_error,19,4.0,8,0.0
120,squared_error,20,9.75,2,-11.71
150,poisson,14,8.75,3,-11.82
120,absolute_error,17,8.75,2,0.0
20,poisson,17,2.75,7,-11.69
120,absolute_error,14,3.5,4,0.0
20,poisson,16,9.25,20,-12.88
40,squared_error,9,2.5,20,-12.3
50,squared_error,18,0.5,8,-12.29
150,absolute_error,17,7.25,15,0.0
10,absolute_error,12,7.5,8,0.0
150,poisson,6,5.0,7,-12.94
120,poisson,4,8.25,1,-12.48
140,absolute_error,20,0.0,12,0.0
50,poisson,15,4.25,5,-12.81
60,poisson,5,2.25,5,-13.25
100,squared_error,14,4.75,16,-12.26
150,absolute_error,15,4.5,2,-1.28
190,absolute_error,17,5.25,4,0.0
190,absolute_error,6,5.5,11,-0.52
40,poisson,19,6.0,12,-13.84
80,poisson,17,9.0,15,-12.47
140,absolute_error,11,7.0,9,-0.7
70,absolute_error,18,7.5,12,0.0
110,absolute_error,2,6.75,7,0.0
110,squared_error,9,4.75,6,-12.52
150,poisson,9,3.25,16,-12.69
90,poisson,13,9.25,3,-13.01
20,absolute_error,16,10.0,4,0.0
120,absolute_error,16,9.5,19,0.0
170,poisson,3,8.25,15,-12.7
30,absolute_error,14,0.75,20,0.0
110,squared_error,8,8.0,14,-12.38
110,poisson,9,3.5,20,-12.24
130,squared_error,13,0.0,6,-12.82
170,poisson,8,7.5,16,-12.01
160,squared_error,11,6.75,19,-12.22
130,absolute_error,6,6.75,7,0.0
100,poisson,5,1.75,3,-11.97
80,poisson,14,2.75,11,-13.07
110,squared_error,9,4.25,18,-12.71
160,squared_error,14,6.75,15,-12.55
130,squared_error,12,1.5,8,-12.72
180,squared_error,8,1.5,20,-12.87
150,absolute_error,18,8.5,19,-0.65
20,absolute_error,18,4.0,8,0.0
80,poisson,10,0.5,19,-12.88
80,poisson,7,9.75,13,-13.34
200,absolute_error,17,8.0,20,-0.97
170,poisson,11,7.75,16,-13.18
160,poisson,7,7.75,6,-12.69
190,squared_error,8,4.25,4,-12.61
40,absolute_error,20,8.5,12,0.0
200,absolute_error,13,8.25,14,-0.49
130,poisson,13,7.25,11,-13.2
150,squared_error,20,4.75,13,-12.89
40,squared_error,13,5.5,19,-12.63
80,squared_error,12,8.5,15,-12.07
20,poisson,5,7.0,11,-11.97
160,absolute_error,18,8.5,4,0.0
150,squared_error,14,2.75,3,-12.43
80,absolute_error,6,1.25,6,0.0
170,squared_error,14,4.0,18,-12.13
170,squared_error,3,3.5,15,-12.59
170,poisson,17,9.0,17,-12.91
120,absolute_error,10,1.0,11,-0.81
130,poisson,9,2.25,4,-12.34
180,absolute_error,12,2.5,1,-0.55
70,poisson,9,2.25,18,-11.97
130,absolute_error,8,5.0,5,0.0
40,poisson,4,6.0,14,-12.24
20,poisson,11,2.0,5,-12.63
180,absolute_error,14,1.25,5,0.0
50,poisson,16,1.0,17,-13.35
80,absolute_error,8,0.5,20,0.0
40,squared_error,9,0.25,4,-12.69
30,squared_error,6,5.75,5,-11.59
160,squared_error,13,2.0,7,-12.58
190,poisson,7,1.75,15,-12.82
170,absolute_error,6,0.0,1,0.0
130,poisson,13,4.0,17,-12.95
20,squared_error,8,0.0,17,-11.26
160,poisson,14,3.0,17,-12.42
70,squared_error,17,8.0,19,-12.54
150,squared_error,8,2.25,1,-12.91
90,poisson,11,10.0,12,-12.62
90,poisson,2,1.25,14,-12.24
30,squared_error,5,9.75,10,-12.67
120,poisson,18,0.25,1,-12.59
10,absolute_error,11,0.5,16,0.0
150,poisson,10,4.0,9,-12.64
180,absolute_error,4,10.0,9,-1.08
150,poisson,4,3.5,7,-13.02
90,absolute_error,17,8.75,4,0.0
110,poisson,7,8.25,13,-12.38
140,absolute_error,4,8.75,7,-1.37
150,absolute_error,18,3.25,2,0.0
10,poisson,12,8.5,19,-12.5
190,absolute_error,16,4.75,14,-0.52
80,poisson,18,6.0,1,-11.9
110,absolute_error,6,3.75,17,-0.88
190,absolute_error,7,9.25,14,-1.02
200,poisson,4,10.0,11,-12.69
200,squared_error,3,6.25,2,-12.81
170,squared_error,5,7.25,16,-12.58
150,absolute_error,12,3.0,1,0.0
160,poisson,15,2.25,9,-12.22
80,absolute_error,15,5.5,3,0.0
160,squared_error,6,1.25,5,-12.99
180,squared_error,3,2.0,16,-12.9
100,squared_error,9,5.75,14,-12.83
30,absolute_error,4,6.0,17,0.0
80,poisson,10,3.25,3,-12.76
20,absolute_error,16,9.0,7,0.0
30,absolute_error,4,6.5,11,0.0
120,absolute_error,1,2.75,9,0.0
100,poisson,9,8.75,8,-12.02
120,absolute_error,5,0.0,14,-1.2
10,poisson,7,8.25,4,-10.5
20,squared_error,13,3.0,16,-11.11
170,absolute_error,16,7.25,6,0.0
190,squared_error,19,3.25,20,-12.12
140,squared_error,2,9.0,5,-12.68
130,absolute_error,19,9.0,1,-1.47
110,poisson,9,4.0,9,-12.21
200,squared_error,10,6.0,9,-12.77
60,poisson,13,9.25,3,-12.76
60,poisson,15,2.75,17,-12.1
180,squared_error,18,7.25,8,-12.67
30,absolute_error,15,7.25,9,-3.03
30,absolute_error,13,9.0,6,0.0
160,squared_error,10,1.75,19,-11.58
190,squared_error,12,9.0,15,-12.62
200,absolute_error,15,7.0,16,-0.49
90,poisson,20,1.5,12,-11.9
180,squared_error,9,4.5,3,-12.27
90,absolute_error,11,2.5,8,0.0
50,poisson,6,4.75,8,-13.16
30,squared_error,9,8.75,5,-13.8
160,absolute_error,7,5.5,19,0.0
110,absolute_error,12,7.0,18,-1.72
140,squared_error,18,0.25,17,-12.63
60,absolute_error,7,10.0,6,-1.59
10,squared_error,8,7.5,2,-13.25
180,poisson,3,3.0,17,-12.97
190,squared_error,19,4.5,1,-12.51
130,poisson,14,5.0,16,-12.89
40,absolute_error,12,3.0,13,0.0
90,poisson,6,8.0,16,-12.9
130,absolute_error,2,3.0,1,0.0
120,squared_error,5,7.75,4,-12.71
130,squared_error,12,2.0,15,-12.54
60,poisson,9,0.75,19,-12.63
140,squared_error,8,4.0,11,-11.95
30,absolute_error,6,1.25,5,0.0
130,absolute_error,9,7.75,20,0.0
10,squared_error,4,4.5,17,-12.24
90,absolute_error,3,6.5,1,0.0
10,poisson,14,5.75,4,-10.19
70,absolute_error,5,6.75,16,0.0
10,absolute_error,11,5.5,9,0.0
130,squared_error,5,0.0,14,-14.54
180,poisson,6,0.0,1,-12.33
70,squared_error,1,4.25,4,-12.76
150,poisson,20,10.0,7,-12.76
30,absolute_error,20,5.75,6,0.0
50,poisson,1,2.25,3,-11.8
130,squared_error,10,3.25,9,-12.64
190,squared_error,18,6.0,14,-11.99
60,absolute_error,6,3.25,13,0.0
110,absolute_error,17,9.75,17,-0.88
40,squared_error,8,0.75,5,-12.43
70,squared_error,9,4.25,14,-13.01
50,poisson,5,0.75,16,-13.11
10,poisson,18,10.0,18,-11.69
30,absolute_error,9,3.75,10,0.0
150,squared_error,9,8.25,18,-12.47
190,poisson,4,4.25,6,-12.61
30,squared_error,12,7.75,9,-12.24
190,absolute_error,14,4.5,17,0.0
140,squared_error,1,4.5,17,-12.97
50,absolute_error,3,6.25,17,0.0
20,squared_error,5,7.0,8,-12.5
40,squared_error,5,9.25,7,-11.76
60,squared_error,1,4.0,20,-12.46
140,absolute_error,6,7.0,14,0.0
60,poisson,5,9.5,18,-12.54
170,poisson,3,2.5,20,-12.42
90,squared_error,1,0.75,19,-12.47
50,squared_error,10,7.75,9,-12.07
130,poisson,11,0.0,16,-12.7
180,poisson,6,1.25,9,-12.54
30,squared_error,19,6.25,8,-13.25
100,squared_error,6,1.5,9,-12.73
200,squared_error,10,4.75,5,-12.62
120,poisson,12,2.0,7,-12.48
150,absolute_error,14,4.75,6,0.0
100,absolute_error,3,1.25,3,-0.97
170,absolute_error,15,8.75,14,-0.58
70,absolute_error,17,4.25,9,0.0
40,absolute_error,13,6.5,13,0.0
190,absolute_error,1,4.5,5,0.0
180,squared_error,8,2.75,8,-11.94
10,absolute_error,11,0.0,20,0.0
70,squared_error,16,0.0,18,-12.46
40,squared_error,5,1.75,7,-12.5
90,poisson,9,9.75,17,-12.76
80,absolute_error,18,6.5,5,0.0
90,absolute_error,15,1.75,19,0.0
170,squared_error,10,4.25,18,-12.01
50,squared_error,4,2.0,18,-12.91
190,absolute_error,11,6.5,16,0.0
190,absolute_error,15,0.5,20,-0.52
20,poisson,3,0.5,5,-11.69
110,absolute_error,9,2.0,2,-0.88
110,absolute_error,1,6.0,15,0.0
50,squared_error,20,7.5,2,-14.0
140,absolute_error,1,6.75,16,-0.7
60,poisson,14,8.5,5,-14.03
100,absolute_error,15,5.0,11,0.0
70,poisson,15,5.25,6,-13.01
180,poisson,16,9.25,5,-12.18
180,squared_error,7,10.0,10,-12.49
180,poisson,15,0.75,18,-12.07
160,poisson,14,0.5,3,-12.42
200,absolute_error,1,10.0,15,0.0
190,absolute_error,3,0.0,3,-7.47
30,poisson,17,6.25,8,-13.57
150,absolute_error,8,8.5,8,-0.65
60,squared_error,15,2.0,4,-12.37
10,absolute_error,16,3.25,9,0.0
110,squared_error,20,7.0,7,-12.62
30,absolute_error,3,3.75,12,0.0
170,absolute_error,10,5.5,12,0.0
100,absolute_error,3,7.75,3,0.0
180,absolute_error,2,6.0,3,0.0
40,poisson,18,1.75,20,-12.1
170,absolute_error,17,8.25,4,-1.68
110,squared_error,12,9.25,9,-11.71
70,poisson,15,7.75,11,-13.36
100,squared_error,14,10.0,4,-12.83
30,absolute_error,12,2.0,2,0.0
60,squared_error,8,3.5,11,-13.25
20,absolute_error,18,0.75,11,0.0
120,poisson,4,7.75,2,-12.21
130,poisson,8,9.25,5,-12.3
150,poisson,9,5.75,8,-12.55
40,poisson,9,5.75,13,-12.43
100,squared_error,5,9.25,16,-12.45
90,squared_error,20,4.25,4,-12.76
20,poisson,11,6.5,14,-13.25
180,squared_error,11,2.0,3,-12.7
50,squared_error,19,5.25,17,-12.96
100,squared_error,3,5.75,5,-12.45
140,absolute_error,19,7.5,14,-1.37
90,squared_error,6,9.25,17,-11.81
130,poisson,2,8.75,11,-12.64
110,absolute_error,5,6.25,8,-0.88
200,poisson,9,3.0,3,-12.33
60,squared_error,4,6.25,5,-12.59
120,poisson,10,8.75,18,-11.76
170,squared_error,3,8.75,10,-12.83
140,absolute_error,20,3.0,5,0.0
100,absolute_error,12,2.5,14,0.0
30,absolute_error,20,0.25,6,0.0
100,absolute_error,2,9.75,11,0.0
90,poisson,18,10.0,13,-11.94
110,squared_error,16,3.75,14,-11.79
30,squared_error,2,0.5,13,-12.84
110,poisson,11,5.25,17,-12.38
160,poisson,18,7.25,13,-12.22
20,squared_error,17,2.25,12,-10.81
40,poisson,10,5.0,5,-11.83
140,poisson,9,0.75,13,-12.24
10,poisson,17,6.25,3,-11.97
40,absolute_error,18,7.75,16,0.0
10,poisson,8,8.25,2,-13.95
30,squared_error,13,8.25,2,-11.31
90,poisson,13,2.0,11,-12.27
90,poisson,12,5.25,12,-11.72
50,absolute_error,8,1.5,19,0.0
70,poisson,13,1.0,6,-12.87
30,squared_error,8,8.0,4,-12.59
200,poisson,12,4.5,14,-12.98
70,absolute_error,15,8.25,7,0.0
120,squared_error,1,0.5,8,-12.88
110,poisson,10,7.25,8,-12.48
40,poisson,2,5.75,2,-13.01
170,poisson,13,6.5,17,-12.48
170,absolute_error,8,8.25,17,0.0
160,poisson,18,2.75,20,-12.69
90,squared_error,6,1.25,4,-12.93
200,squared_error,10,8.5,13,-12.36
50,squared_error,5,1.0,14,-13.01
130,squared_error,6,2.0,20,-12.46
110,poisson,1,2.75,18,-12.14
110,poisson,20,3.5,6,-12.19
60,poisson,3,9.0,20,-12.93
30,squared_error,19,1.5,1,-12.84
30,squared_error,6,4.75,11,-12.24
110,squared_error,20,5.0,5,-12.02
90,squared_error,12,6.5,9,-12.56
200,squared_error,2,2.0,16,-13.0
200,poisson,17,7.25,17,-12.29
140,absolute_error,12,2.75,9,0.0
180,poisson,3,6.25,1,-12.99
150,squared_error,7,7.75,8,-12.0
60,squared_error,3,1.5,12,-11.06
160,absolute_error,8,0.25,5,-0.61
30,squared_error,18,0.25,2,-11.78
170,absolute_error,16,4.75,6,0.0
70,poisson,7,10.0,8,-12.27
10,absolute_error,6,0.25,15,0.0
150,poisson,11,2.0,19,-12.41
20,absolute_error,3,0.5,6,0.0
110,poisson,13,4.5,7,-12.36
110,poisson,9,7.75,19,-12.76
70,absolute_error,7,8.25,10,0.0
160,poisson,12,2.25,18,-12.24
90,poisson,19,5.5,10,-12.12
140,poisson,9,3.75,13,-12.57
120,poisson,14,9.25,5,-12.61
140,poisson,8,8.75,17,-13.03
180,absolute_error,3,8.75,12,-1.08
150,absolute_error,12,7.75,18,0.0
30,squared_error,7,7.5,3,-12.15
180,squared_error,20,4.5,19,-12.98
130,poisson,9,7.5,20,-12.07
80,absolute_error,13,9.75,18,-2.33
180,squared_error,14,0.5,12,-12.57
10,absolute_error,9,2.0,14,0.0
130,poisson,14,2.5,3,-12.54
50,squared_error,9,6.0,11,-12.18
20,squared_error,16,0.75,15,-12.88
120,squared_error,15,5.0,17,-13.03
140,absolute_error,9,6.5,1,-0.7
70,absolute_error,12,4.25,19,0.0
90,squared_error,19,0.5,9,-12.06
10,squared_error,9,1.5,19,-13.01
150,poisson,20,1.75,7,-12.81
130,squared_error,5,0.75,1,-12.5
110,squared_error,6,5.25,13,-13.27
50,absolute_error,20,6.25,16,0.0
70,squared_error,5,6.75,13,-12.16
170,absolute_error,2,9.75,1,0.0
50,squared_error,1,8.25,13,-12.45
40,absolute_error,15,9.75,16,0.0
160,absolute_error,1,6.0,9,-0.61
60,poisson,2,7.0,3,-12.24
40,squared_error,19,6.75,8,-11.26
150,squared_error,2,4.75,11,-12.88
90,absolute_error,5,9.75,9,0.0
170,squared_error,2,6.75,4,-12.74
110,poisson,7,1.75,11,-12.26
190,absolute_error,18,7.25,11,-0.52
200,poisson,17,8.25,8,-12.43
150,squared_error,1,0.25,2,-12.57
170,squared_error,20,2.25,16,-12.01
90,poisson,10,10.0,16,-12.12
100,poisson,11,4.0,2,-12.93
80,squared_error,2,5.25,6,-12.66
120,absolute_error,16,1.0,11,-0.81
160,poisson,19,7.0,18,-12.69
70,absolute_error,3,0.0,11,-10.41
190,squared_error,4,1.0,7,-12.6
60,poisson,4,3.0,2,-12.76
180,squared_error,9,4.0,16,-12.4
120,poisson,2,6.0,5,-12.37
140,absolute_error,14,4.75,8,0.0
110,poisson,6,2.0,8,-12.76
170,poisson,13,1.25,12,-12.85
100,poisson,12,6.75,20,-12.02
150,poisson,10,7.0,14,-13.04
120,squared_error,12,7.5,11,-12.56
90,squared_error,4,0.5,19,-12.35
40,poisson,4,9.0,18,-12.43
70,absolute_error,16,2.75,3,0.0
60,poisson,16,9.0,19,-13.33
140,absolute_error,11,5.0,6,0.0
100,poisson,10,0.5,12,-12.73
180,squared_error,20,9.0,9,-12.6
160,poisson,4,2.75,15,-12.37
130,squared_error,14,4.25,13,-12.74
80,absolute_error,18,9.5,16,0.0
100,absolute_error,1,4.75,12,0.0
100,poisson,20,1.25,15,-12.6
30,squared_error,16,9.75,14,-12.24
80,poisson,13,7.75,10,-12.47
10,absolute_error,9,4.25,15,0.0
130,squared_error,20,2.5,12,-12.62
60,absolute_error,20,0.75,6,0.0
10,squared_error,9,8.5,2,-12.5
30,squared_error,20,9.75,7,-13.33
180,squared_error,6,6.5,5,-12.12
190,absolute_error,12,2.0,6,-0.52
70,absolute_error,20,9.75,7,-1.37
200,squared_error,1,1.0,2,-12.55
190,poisson,14,4.75,16,-12.19
